_id;cc_collectiveCodeOwnership;cc_errorCulture_Consolidated;cc_intendedKnowledgeDistribution;cc_longTermThinking;cc_qualityOrientation_1;cp_codebaseSize;cp_defectConsequences_Consolidated;cp_defectConsequences_business;cp_defectConsequences_disruptOtherTeams;cp_defectConsequences_environment;cp_defectConsequences_financialLoss;cp_defectConsequences_humanLife;cp_defectConsequences_law;cp_defectConsequences_lossOfService;cp_defectConsequences_reputation;cp_defectConsequences_systemFailure;classification;cp_obligations_contractual;cp_obligations_legislative;cp_obligations_none;cp_typeOfSoftware;ct_actualKnowledgeMax;ct_actualKnowledgeMedian;ct_actualKnowledge_veryExperienced;ct_actualKnowledge_veryLittleExperienced;ct_companySize;ct_country;ct_openSource;ct_spatialDistribution;ct_teamSize
64;Y;5;generalists;4_longTerm;lowTimeToMarket;3_100001to500000;4;Y;N;N;Y;N;Y;Y;N;N;agile;N;N;Y;standardsoftware;?;?;050percentOfTeam;?;5_251to500;germany;opensource;distributed;030
62;N;6;generalists;3_mediumToLongTerm;lowTimeToMarket;3_100001to500000;6;N;N;N;N;N;N;N;Y;N;agile;N;N;Y;standardsoftware;?;?;030percentOfTeam;?;6_501to1000;germany;closedsource;distributed;005
51;N;7;specialists;0_shortTerm;?;?;3;Y;N;N;Y;N;N;Y;N;N;adhoc;?;?;?;inhouse;?;?;?;?;8_10001orMore;poland;closedsource;collocated;002
31;Y;7;?;1_shortToMediumTerm;?;?;5;Y;N;N;Y;N;N;N;Y;Y;adhoc;?;?;?;contractor;?;?;?;?;1_11to25;germany;closedsource;collocated;004
55;N;2;specialists;3_mediumToLongTerm;lowTimeToMarket;5_1000001to10000000;6;N;N;N;N;N;N;N;N;Y;adhoc;?;?;?;contractor;?;?;010percentOfTeam;?;1_11to25;germany;closedsource;collocated;003
39;N;6;generalists;3_mediumToLongTerm;highQuality;0_upTo10000;3;Y;N;Y;Y;Y;Y;Y;Y;Y;adhoc;N;N;Y;embedded;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;7_1001to10000;germany;closedsource;collocated;006
42;N;4;specialists;4_longTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;adhoc;?;?;?;?;?;?;?;?;5_251to500;germany;closedsource;collocated;007
41;Y;?;generalists;0_shortTerm;?;?;6;N;N;N;N;N;N;N;N;Y;agile;?;?;?;standardsoftware;?;?;?;?;3_51to100;germany;closedsource;distributed;003
33;Y;5;generalists;4_longTerm;?;?;6;N;N;N;N;N;N;N;Y;N;adhoc;N;N;Y;standardsoftware;?;?;?;?;2_26to50;germany;closedsource;collocated;015
58;N;6;specialists;2_mediumTerm;?;1_10001to50000;5;Y;N;N;Y;N;Y;Y;Y;N;classic;N;N;Y;contractor;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;5_251to500;netherlands;closedsource;collocated;009
44;N;7;specialists;3_mediumToLongTerm;?;?;5;Y;N;N;N;N;Y;N;N;N;agile;?;?;?;saas;?;?;?;?;2_26to50;germany;closedsource;?;015
37;N;5;generalists;0_shortTerm;?;?;7;Y;N;N;N;N;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;?;germany;closedsource;distributed;005
60;Y;7;generalists;4_longTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;6_501to1000;usa;closedsource;collocated;008
53;Y;6;specialists;2_mediumTerm;?;?;5;Y;N;N;N;N;N;N;N;Y;classic;?;?;?;standardsoftware;?;?;?;?;4_101to250;poland;closedsource;collocated;005
63;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;classic;?;?;?;education;?;?;?;?;3_51to100;poland;?;?;000
67;Y;6;generalists;1_shortToMediumTerm;?;?;6;N;Y;N;N;N;N;N;Y;N;classic;?;?;?;games;?;?;?;?;4_101to250;uk;closedsource;collocated;007
65;N;5;?;3_mediumToLongTerm;?;?;7;N;N;N;N;N;N;Y;Y;Y;adhoc;?;?;?;standardsoftware;?;?;?;?;2_26to50;poland;closedsource;?;007
68;Y;7;generalists;1_shortToMediumTerm;lowTimeToMarket;2_50001to100000;5;Y;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;inhouse;4_veryExperienced;4_veryExperienced;090percentOfTeam;000percentOfTeam;7_1001to10000;uk;closedsource;collocated;003
230;Y;5;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;0_1to10;germany;opensource;distributed;003
69;Y;7;specialists;3_mediumToLongTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;N;Y;Y;Y;adhoc;Y;N;N;standardsoftware;?;?;090percentOfTeam;010percentOfTeam;0_1to10;?;closedsource;distributed;004
74;Y;6;generalists;4_longTerm;lowTimeToMarket;0_upTo10000;5;Y;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;saas;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;0_1to10;uk;closedsource;distributed;004
86;N;6;specialists;?;?;?;4;N;N;N;Y;N;N;N;N;N;adhoc;?;?;?;contractor;?;?;?;?;4_101to250;russia;closedsource;distributed;013
73;Y;6;generalists;4_longTerm;highQuality;6_10000001orMore;6;N;N;N;N;N;N;Y;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;090percentOfTeam;000percentOfTeam;1_11to25;canada;closedsource;collocated;008
72;Y;4;generalists;0_shortTerm;?;?;4;N;N;Y;N;N;N;N;N;N;adhoc;N;N;Y;saas;?;?;?;?;0_1to10;india;closedsource;?;004
89;Y;6;specialists;4_longTerm;highQuality;3_100001to500000;5;Y;N;N;Y;N;N;N;Y;Y;adhoc;?;?;?;standardsoftware;?;?;100percentOfTeam;?;7_1001to10000;usa;closedsource;collocated;006
