classification;Hutform;Hutoberfläche;Hutfarbe;blaeut;Geruch;Lamellenbefestigung;Lamellenabstand;Lamellengroesse;Lamellenfarbe;Stielform;Stielansatz;Stieloberflaeche-ueber-Ring;Stieloberflaeche-unter-Ring;Stielfarbe-ueber-Ring;Stielfarbe-unter-Ring;Velum-Typ;Velum-Farbe;Manschette-Anzahl;Manschette-Typ;Sporenabdruckfarbe;Vorkommen;Habitat
giftig;konvex;glatt;braun;ja;beissend;lose;nah;eng;schwarz;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Stadt
essbar;konvex;glatt;gelb;ja;Mandel;lose;nah;breit;schwarz;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;haeufig;Gras
essbar;glockenform;glatt;weiss;ja;Anis;lose;nah;breit;braun;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;haeufig;Weiden
giftig;konvex;schuppig;weiss;ja;beissend;lose;nah;eng;braun;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Stadt
essbar;konvex;glatt;grau;nein;kein;lose;beengt;breit;schwarz;verjuengend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;vergaenglich;braun;reichlich;Gras
essbar;konvex;schuppig;gelb;ja;Mandel;lose;nah;breit;braun;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;haeufig;Gras
essbar;glockenform;glatt;weiss;ja;Mandel;lose;nah;breit;grau;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;haeufig;Weiden
essbar;glockenform;schuppig;weiss;ja;Anis;lose;nah;breit;braun;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;vereinzelt;Weiden
giftig;konvex;schuppig;weiss;ja;beissend;lose;nah;eng;pink;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;einige;Gras
essbar;glockenform;glatt;gelb;ja;Mandel;lose;nah;breit;grau;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Weiden
essbar;konvex;schuppig;gelb;ja;Anis;lose;nah;breit;grau;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;haeufig;Gras
essbar;konvex;schuppig;gelb;ja;Mandel;lose;nah;breit;braun;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Weiden
essbar;glockenform;glatt;gelb;ja;Mandel;lose;nah;breit;weiss;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;vereinzelt;Gras
giftig;konvex;schuppig;weiss;ja;beissend;lose;nah;eng;schwarz;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;einige;Stadt
essbar;konvex;faserig;braun;nein;kein;lose;beengt;breit;braun;verjuengend;gerade;glatt;faserig;weiss;weiss;partiale;weiss;eine;vergaenglich;schwarz;reichlich;Gras
essbar;konkav;faserig;grau;nein;kein;lose;nah;eng;schwarz;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;einzeln;Stadt
essbar;flach;faserig;weiss;nein;kein;lose;beengt;breit;schwarz;verjuengend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;vergaenglich;braun;reichlich;Gras
giftig;konvex;glatt;braun;ja;beissend;lose;nah;eng;braun;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Gras
giftig;konvex;schuppig;weiss;ja;beissend;lose;nah;eng;braun;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;vereinzelt;Stadt
giftig;konvex;glatt;braun;ja;beissend;lose;nah;eng;schwarz;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;vereinzelt;Stadt
essbar;glockenform;glatt;gelb;ja;Mandel;lose;nah;breit;schwarz;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;vereinzelt;Weiden
giftig;konvex;schuppig;braun;ja;beissend;lose;nah;eng;braun;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;einige;Gras
essbar;glockenform;schuppig;gelb;ja;Anis;lose;nah;breit;schwarz;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;vereinzelt;Weiden
essbar;glockenform;schuppig;weiss;ja;Mandel;lose;nah;breit;weiss;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;haeufig;Weiden
essbar;glockenform;glatt;weiss;ja;Anis;lose;nah;breit;grau;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Weiden
giftig;flach;glatt;weiss;ja;beissend;lose;nah;eng;braun;verdickend;gerade;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;einige;Gras
essbar;konvex;schuppig;gelb;ja;Mandel;lose;nah;breit;braun;verdickend;keulenfoermig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;haeufig;Weiden
